English,Espanol
check,cheque
change,cambio
end,fin
late,tarde
anymore,nunca más
five,cinco
least,menos
town,pueblo
aren't,no son
ha,decir ah
working,laboral
year,año
makes,hace
taking,tomando
means,medio
brother,hermano
play,tocar
hate,odio
ago,atrás
says,dice
beautiful,hermosa
gave,dio
fact,hecho
crazy,loco
party,fiesta
sit,sentarse
open,abierto
afraid,temeroso
between,Entre
important,importante
rest,descansar
fun,divertida
kid,niño
word,palabra
watch,reloj
glad,contento
everyone,todos
days,días
sister,hermana
minutes,minutos
everybody,todos
bit,un poco
couple,pareja
whoa,whoa
either,cualquiera
Mrs.,Señora.
feeling,sentimiento
daughter,hija
wow,Guau
gets,obtiene
asked,pedido
under,bajo
break,descanso
promise,promesa
door,puerta
set,colocar
close,cerca
hand,mano
easy,fácil
question,pregunta
doctor,médico
tried,intentado
far,lejos
walk,caminar
needs,necesidades
trouble,problema
mine,Mia
though,sin embargo
times,veces
different,diferente
killed,delicado
hospital,hospital
anybody,cualquiera
Sam or SAM,Sam o Sam
alright,bien
wedding,Boda
shut,cerrado
able,poder
die,morir
perfect,Perfecto
police,policía
stand,estar
comes,llega
hit,pegar
story,historia
ya,ya
mm,mm
waiting,espera
dinner,cena
against,contra
funny,gracioso
husband,esposo
almost,casi
stupid,estúpido
pay,pagar
answer,respuesta
four,cuatro
office,oficina
cool,frio
eyes,ojos
news,Noticias
child,niño
shouldn't,no debería
half,mitad
side,lado
